oldId,material,qty,supplier,batchCode,dateOrdered,site,int,clerk,dateProcessed
13000,Methanol,16,Tennents,606661,2022-07-01,new,JD,GA,2022-12-01
13001,Methanol,16,Tennents,606661,2022-07-01,new,JD,GA,2022-12-01
13002,Methanol,16,Tennents,606661,2022-07-01,new,JD,GA,2022-11-01
13003,Methanol,16,Tennents,606661,2022-07-01,new,JD,GA,2022-12-01
13004,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-18
13005,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-18
13006,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-17
13007,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-15
13008,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-20
13009,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-19
13010,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-02-02
13011,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-31
13012,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-10-02
13013,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-09-02
13014,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-02-25
13015,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-02-21
13016,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-02-21
13017,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-02-24
13018,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-09-02
13019,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-10-02
13020,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-31
13021,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-02-02
13022,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-20
13023,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-21
13024,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-15
13025,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-17
13026,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-18
13027,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-01-18
13028,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-04-02
13029,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-03-02
13030,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-08-02
13031,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-07-02
13032,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-10-03
13033,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-09-03
13034,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-02-14
13035,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-11-02
13036,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-11-02
13037,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-02-14
13038,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-08-04
13039,Methanol,40,Kimia,22-0029-001,2022-01-13,new,JD,GA,2022-04-13
