oldId,material, batchCode, supplier, status
17202,Acetonitrile,240916502B,ICC,N
17205,Acetonitrile,240916502B,ICC,N
16171,Sulphuric Acid,,,N
16172,Sulphuric Acid,,,N
3001,THF,AD19030167,,R
3002,Caustic Soda,,,R

9000,Acetonitrile,,,W
9001,Acetonitrile,,,W
9002,Unknown,,,X

16310,Acetonitrile,IOR-24-05287,Brenntag,N
16312,Acetonitrile,IOR-24-05287,Brenntag,N
16968,Methyl Formate,59455488Q0,Oqema,N
16969,Methyl Formate,59455488Q0,Oqema,N
16538,Acetonitrile,ICC Formosa,PR2403A,P
16539,Acetonitrile,ICC Formosa,PR2403A,P
16540,Acetonitrile,ICC Formosa,PR2403A,P
17058,Isopentane,59217,Halterman,N
17059,Isopentane,59217,Halterman,N
15824,Pentane,N20240122,WGT,P
15832,Pentane,N20240122,WGT,N
15834,Pentane,N20240122,WGT,N
16564,Methylcyclohexane,GB11489584,Banner,N

16237,CS2,2403041170,PromoChem,N
16238,CS2,2403041170,PromoChem,N
16239,CS2,2403041170,PromoChem,N
16240,CS2,2403041170,PromoChem,N
16241,CS2,2403041170,PromoChem,N
16242,CS2,2403041170,PromoChem,N
16243,CS2,2403041170,PromoChem,N
16244,CS2,2403041170,PromoChem,N
16246,CS2,2403041170,PromoChem,N

16338,CS2,2403041170,PromoChem,N
16339,CS2,2403041170,PromoChem,N
16340,CS2,2403041170,PromoChem,N
16341,CS2,2403041170,PromoChem,N
16342,CS2,2403041170,PromoChem,N
16343,CS2,2403041170,PromoChem,N
16344,CS2,2403041170,PromoChem,N
16345,CS2,2403041170,PromoChem,N
16346,CS2,2403041170,PromoChem,N
16347,CS2,2403041170,PromoChem,N
16348,CS2,2403041170,PromoChem,N
16349,CS2,2403041170,PromoChem,N
16350,CS2,2403041170,PromoChem,N


16475,Diethyl Ether,25500394,INEOS,N
16476,Diethyl Ether,25500394,INEOS,N
16477,Diethyl Ether,25500394,INEOS,N
16478,Diethyl Ether,25500394,INEOS,N
16479,Diethyl Ether,25500394,INEOS,N
16480,Diethyl Ether,25500394,INEOS,N
16481,Diethyl Ether,25500394,INEOS,N

3009,Diethyl Ether,,,R

// labelled already! new ID 4738 and onwards, qty 16 in stock
4738,n-Pentane,BO023513,Caldic,N
4739,n-Pentane,BO023513,Caldic,N
4740,n-Pentane,BO023513,Caldic,N
4741,n-Pentane,BO023513,Caldic,N
4742,n-Pentane,BO023513,Caldic,N
4743,n-Pentane,BO023513,Caldic,N
4744,n-Pentane,BO023513,Caldic,N
4745,n-Pentane,BO023513,Caldic,N
4746,n-Pentane,BO023513,Caldic,N
4747,n-Pentane,BO023513,Caldic,N
4748,n-Pentane,BO023513,Caldic,N
4749,n-Pentane,BO023513,Caldic,N
4750,n-Pentane,BO023513,Caldic,N
4751,n-Pentane,BO023513,Caldic,N
4752,n-Pentane,BO023513,Caldic,N
4753,n-Pentane,BO023513,Caldic,N

3003,THF,,,R
3004,THF,,,R

17222,THF,224BO1B1,Nan-Ya,N
17214,THF,224BO181,Nan-Ya,N
17215,THF,224BO181,Nan-Ya,N
17216,THF,224BO181,Nan-Ya,N
17217,THF,224BO181,Nan-Ya,N
17218,THF,224BO181,Nan-Ya,N
17219,THF,224BO181,Nan-Ya,N
17220,THF,224BO181,Nan-Ya,N
17221,THF,224BO181,Nan-Ya,N
17222,THF,224BO181,Nan-Ya,N
17227,THF,224BO181,Nan-Ya,N
17228,THF,224BO181,Nan-Ya,N
17229,THF,224BO181,Nan-Ya,N
17230,THF,224BO181,Nan-Ya,N
17231,THF,224BO181,Nan-Ya,N
17232,THF,224BO181,Nan-Ya,N
17233,THF,224BO181,Nan-Ya,N

16728,MTBE,88649,DOR,N
16729,MTBE,88649,DOR,N
16730,MTBE,88649,DOR,N
16731,MTBE,88649,DOR,N
16732,MTBE,88649,DOR,N
16733,MTBE,88649,DOR,N
16722,MTBE,88649,DOR,N
16723,MTBE,88649,DOR,N
16725,MTBE,88649,DOR,N
16736,MTBE,88649,DOR,N

3005,MTBE,,,R
3006,Cyclohexane,,,E
3007,Cyclohexane,,,R
3008,Cyclohexane,,,R
