    table_schema     |            table_name            
---------------------+----------------------------------
 archive             | drums
 archive             | raw_materials
 archive             | raw_stock_history
 auth_ext            | session_settings
 auth_ext            | user_profiles
 auth_ext            | user_queries
 auth_ext            | user_roles
 auth_ext            | worker_passcodes
 config              | bottle_sizes
 config              | chemical_group_kind
 config              | drum_status_transition
 config              | product_prices
 config              | ref_labs
 config              | ref_product
 config              | ref_stills
 cron                | job
 cron                | job_run_details
 inventory           | distillation_pending_assignment
 inventory           | stock_activity
 inventory           | stock_drum
 inventory           | stock_drum_new
 inventory           | stock_new
 inventory           | stock_repro
 logs                | auth_activity_log
 logs                | log_drum_decommission
 logs                | log_drum_scan
 logs                | log_load_still
 logs                | log_start_distillation
 logs                | log_transport_drum
 logs                | log_volume_transfer
 logs                | notification
 obselete            | delivered_drums
 obselete            | deliveries
 obselete            | distillations
 obselete            | new_drums
 obselete            | orders
 obselete            | repro_drums
 obselete            | transactions
 obselete            | transactions_view
 pgsodium            | decrypted_key
 pgsodium            | key
 pgsodium            | mask_columns
 pgsodium            | masking_rule
 pgsodium            | valid_key
 production          | active_context
 production          | cleaning_records
 production          | distillation_record
 production          | distillation_schedule
 production          | distillation_schedule_items
 production          | drum_distillations
 production          | employees
 production          | operator_details
 production          | operators_work_labs
 production          | output_records
 production          | pr_schedule
 public              | chemical_class_groups
 public              | drum_order_details
 public              | order_detail
 public              | order_detail_stock_activity
 public              | product_source_material
 public              | product_table
 public              | raw_drum_archives
 public              | ref_materials
 public              | ref_supplier_material
 public              | ref_suppliers
 public              | stock_history
 public              | stock_history_compatibility_view
 public              | stock_order
 public              | vw_drum_inventory
 public              | vw_material_consumption
 public              | vw_order_history
 public              | vw_pending_assignments
 public              | vw_stock_history_analysis
 public              | vw_supplier_analysis
 realtime            | messages
 realtime            | schema_migrations
 realtime            | subscription
 stock_control       | distillations
 stock_control       | drums
 stock_control       | materials
 stock_control       | suppliers
 supabase_migrations | schema_migrations
 supabase_migrations | seed_files
 temp                | temp_data
 vault               | decrypted_secrets
 vault               | secrets
(86 rows)

